CIK,DATE
0000060751,9/20/2006
0000061138,4/28/2003
0000061138,3/29/2006
0000061138,12/15/2006
0000061986,5/9/2001
0000062142,3/25/1997
0000062737,6/23/2000
0000062737,2/21/2002
0000062737,11/9/2005
0000062996,11/8/2002
0000062996,11/7/2003
0000062996,11/5/2004
0000063276,3/31/2000
0000063276,3/29/2001
0000063276,3/20/2002
0000063276,3/19/2004
0000063276,3/23/2005
0000063276,12/9/2005
0000063416,7/31/2001
0000063541,5/3/2001
0000063541,5/2/2002
0000063541,5/1/2003
0000063541,3/5/2004
0000063541,11/8/2005
0000063754,6/19/2001
0000063754,5/30/2003
0000064079,4/30/1997
0000064803,5/23/1997
0000064803,5/21/2001
0000064803,5/17/2002
0000064803,5/19/2003
0000064803,6/11/2004
0000064803,6/3/2005
0000064803,5/12/2006
0000064803,5/12/2006
0000065873,6/28/2001
0000065873,7/31/2002
0000065873,7/30/2003
0000065873,7/28/2004
0000065873,8/1/2005
0000065873,12/8/2005
0000066479,1/22/1997
0000066479,10/5/2001
0000066479,12/15/2005
0000066895,11/25/1997
0000066895,11/15/2002
0000066895,5/16/2003
0000067494,6/9/1998
0000067494,5/1/2000
0000067686,11/18/1998
0000067887,11/30/1998
0000067887,10/25/2006
0000068366,2/5/1999
0000069671,12/19/2000
0000069671,11/12/2004
0000070318,2/28/2002
0000070318,11/16/2006
0000070538,7/15/1999
0000070538,10/31/2001
0000070578,11/19/1999
0000070578,2/28/2001
0000070578,9/28/2001
0000070793,7/24/2003
0000070793,8/1/2005
0000070793,11/3/2006
0000071691,6/21/2006
0000071745,1/15/1998
0000071829,1/31/2002
0000071829,2/25/2004
0000072207,12/24/1997
0000072207,11/30/2001
0000072207,11/27/2002
0000072207,10/30/2003
0000072207,10/28/2004
0000072207,4/4/2005
0000072207,12/9/2005
0000072207,11/30/2006
0000072333,10/15/1999
0000072333,2/29/2000
0000072333,11/20/2001
0000072333,5/14/2004
0000072333,11/4/2005
0000073093,9/30/1999
0000073309,10/4/2002
0000073309,10/1/2004
0000073309,6/17/2005
0000073887,8/3/2006
0000074091,1/14/1997
0000074091,2/8/2000
0000074303,2/22/1999
0000074303,1/3/2002
0000074303,7/30/2004
0000075208,8/19/1997
0000075208,4/18/2000
0000075208,12/12/2001
0000075208,2/9/2006
0000075252,9/15/1997
0000075252,4/24/2000
0000075252,4/30/2002
0000075252,5/4/2004
0000075252,3/30/2006
0000075288,7/28/2004
0000075677,6/29/2000
0000075677,7/21/2003
0000075829,8/24/2004
0000075829,7/29/2005
0000075829,6/21/2006
0000076282,1/14/1998
0000076282,11/2/1998
0000076282,12/21/2000
0000076321,10/22/1999
0000076321,10/10/2003
0000076321,12/20/2004
0000076744,7/21/1997
0000076744,12/2/1997
0000077320,11/17/1998
0000077360,8/30/2001
0000077360,8/29/2002
0000077360,3/4/2005
0000077449,8/1/2003
0000077476,5/22/2006
0000078066,6/25/1997
0000078066,4/20/2004
0000078066,4/1/2005
0000078239,4/22/1998
0000078239,10/17/2002
0000078239,12/15/2004
0000078749,3/27/1998
0000078749,9/15/2000
0000078749,4/16/2003
0000078749,10/18/2005
0000078890,10/3/2000
0000078890,9/6/2002
0000078890,10/15/2004
0000078890,7/13/2005
0000078890,8/11/2006
0000079326,12/11/1998
0000079958,7/30/1999
0000079958,12/9/2003
0000079958,10/14/2005
0000080293,7/22/2002
0000080424,7/27/2005
0000083226,7/15/1998
0000084129,10/25/1999
0000084129,10/25/1999
0000084129,6/27/2001
0000084129,5/28/2003
0000084129,9/22/2004
0000084129,9/30/2005
0000084244,3/29/2000
0000084567,11/10/1998
0000084792,10/24/2003
0000084792,12/16/2005
0000085408,10/30/1997
0000085812,4/18/2002
0000085961,5/11/2004
0000085961,5/11/2005
0000086144,4/8/1997
0000086144,5/24/2001
0000086144,6/1/2005
0000086144,6/15/2006
0000086772,5/5/1999
0000087744,6/30/2000
0000088188,10/21/1998
0000088188,10/23/1998
0000088205,10/6/1998
0000088205,2/10/2000
0000088205,12/27/2002
0000088205,11/18/2005
0000088974,3/18/1997
0000088974,12/9/1999
0000089089,6/26/1998
0000089089,6/25/1999
0000089089,11/2/1999
0000089089,11/2/1999
0000089089,7/24/2002
0000089089,11/28/2006
0000089107,3/29/1999
0000089107,4/14/2000
0000089800,1/3/1997
0000089800,1/3/2000
0000089800,7/19/2004
0000089800,7/20/2005
0000090185,2/23/2005
0000090185,12/11/2006
0000091388,9/8/1999
0000091388,12/3/1999
0000091388,12/6/2001
0000091388,8/19/2005
0000091440,8/23/1999
0000091440,8/20/2001
0000091440,8/9/2002
0000091440,8/1/2003
0000091440,7/27/2004
0000091767,7/9/2003
0000091767,7/7/2004
0000091767,5/3/2006
0000092344,2/27/1997
0000092344,1/25/2001
0000092380,5/6/1997
0000092380,4/23/2002
0000092380,4/20/2004
0000092380,8/9/2005
0000093102,12/17/1997
0000093389,4/27/2001
0000093389,2/7/2003
0000093556,10/17/2001
0000093556,10/16/2002
0000093556,10/15/2003
0000093556,10/14/2004
0000093556,11/2/2005
0000093556,12/1/2005
0000094610,11/18/1998
0000094610,3/31/2000
0000094610,5/31/2000
0000094610,11/1/2004
0000095052,5/13/1997
0000095052,1/29/2001
0000095052,12/24/2002
0000095052,9/30/2004
0000095052,11/2/2005
0000095052,8/11/2006
0000095301,10/10/1997
0000095304,7/22/2002
0000095304,7/21/2003
0000095304,6/25/2004
0000095304,8/12/2005
0000095304,6/30/2006
0000095521,10/8/1997
0000095521,4/23/2002
0000095521,2/28/2005
0000095585,9/19/2000
0000095585,10/1/2004
0000096021,9/13/2002
0000096021,11/4/2005
0000096289,8/5/2005
0000097216,4/7/1997
0000097216,3/6/1998
0000097216,3/29/2001
0000097216,7/14/2006
0000097472,3/10/1999
0000097472,6/6/2003
0000097472,6/30/2005
0000097745,12/20/2002
0000097745,12/17/2004
0000097745,5/9/2005
0000097745,6/30/2005
0000097745,8/29/2006
0000097854,7/1/1998
0000097854,11/14/2001
0000097854,6/25/2003
0000097854,3/2/2005
0000097854,6/14/2005
0000098222,5/15/1997
0000098362,7/10/1998
0000098362,12/31/2002
0000098362,6/30/2005
0000098559,12/14/1998
0000100030,12/10/1997
0000100030,1/27/1999
0000100030,1/25/2000
0000100493,6/9/2004
0000100493,9/28/2005
0000100726,12/7/2001
0000100726,5/26/2006
0000100885,3/24/2004
0000100885,3/23/2005
0000101063,1/17/2001
0000101778,5/4/2006
0000101830,8/7/1998
0000101830,6/21/2005
0000101830,12/19/2005
0000102037,4/7/2003
0000102037,1/7/2005
0000102379,6/9/1999
0000102379,8/22/2002
0000102379,6/4/2004
0000102379,1/27/2005
0000102379,6/28/2005
0000102729,5/4/2004
0000102741,8/25/2000
0000102741,11/17/2000
0000102741,11/15/2001
0000102741,10/25/2005
0000103379,7/15/1999
0000103379,9/25/2003
0000103730,7/31/2003
0000104348,9/30/2002
0000104519,3/13/1998
0000104889,3/17/1998
0000104889,9/20/2000
0000104889,9/19/2001
0000104889,8/14/2002
0000104889,8/13/2003
0000104889,8/10/2005
0000105319,5/8/2006
0000106040,5/5/1997
0000106040,1/28/1998
0000106040,11/4/1998
0000106618,4/30/1999
0000106618,11/17/2000
0000106640,6/1/2001
0000106640,5/28/2004
0000106640,12/1/2005
0000107681,3/29/2001
0000107681,3/28/2002
0000107681,10/7/2003
0000107681,6/29/2004
0000107681,2/23/2005
0000107874,12/23/1997
0000107874,5/10/1999
0000107889,3/31/1997
0000108516,5/30/1997
0000108516,10/14/1998
0000108516,5/10/2002
0000108601,7/14/2005
0000108772,10/22/1997
0000108772,6/21/2002
0000108772,6/19/2003
0000108772,4/7/2006
0000109156,3/30/2000
0000109156,7/23/2003
0000109198,3/26/2002
0000109198,3/24/2003
0000109198,3/17/2004
0000109198,5/5/2005
0000109198,5/12/2006
0000109265,3/31/1997
0000109265,6/29/1998
0000109831,2/1/2000
0000109831,7/25/2003
0000110430,5/27/2003
0000110621,2/3/1997
0000110621,8/26/1999
0000110621,7/14/2000
0000110621,11/19/2004
0000110621,12/29/2006
0000202058,5/10/2001
0000202058,10/15/2003
0000202058,3/31/2005
0000203077,9/11/2003
0000203077,9/21/2004
0000203077,12/13/2006
0000216228,11/10/2000
0000216275,9/23/2003
0000216275,11/30/2005
0000216539,11/25/1997
0000216539,6/26/2000
0000216539,5/3/2005
0000217084,8/7/1998
0000217084,12/28/2001
0000217084,11/17/2004
0000217084,12/23/2005
0000230463,8/1/1997
0000230463,3/8/2001
0000230463,12/16/2004
0000230463,8/31/2005
0000276889,11/26/2002
0000277948,2/15/1997
0000277948,5/20/1997
0000277948,6/8/2001
0000277948,5/17/2002
0000277948,5/14/2003
0000277948,5/12/2004
0000277948,5/5/2005
0000277948,5/4/2006
0000278130,11/12/1998
0000278130,8/22/2003
0000278130,11/22/2005
0000278243,2/7/1997
0000310569,6/30/2000
0000310764,12/4/1998
0000310764,6/4/1999
0000310764,12/21/2001
0000310764,11/18/2005
0000311871,6/6/2003
0000311871,6/11/2004
0000311871,6/28/2006
0000311995,7/28/1998
0000313058,12/17/1999
0000313927,5/28/2004
0000313927,11/30/2005
0000314132,7/27/2001
0000314808,5/21/1998
0000314808,7/26/2002
0000314808,6/23/2005
0000314865,8/9/1999
0000315852,2/14/1997
0000315852,9/30/1999
0000315852,12/14/1999
0000315852,5/2/2002
0000315852,4/1/2003
0000315852,6/23/2004
0000315852,4/15/2005
0000315852,3/21/2006
0000315852,10/25/2006
0000316206,10/9/2002
0000316206,2/10/2006
0000316300,3/17/2006
0000316300,10/2/2006
0000316793,7/16/1999
0000316793,11/2/2000
0000316793,11/7/2003
0000316793,11/6/2006
0000317093,9/29/2005
0000317540,12/20/2002
0000317540,4/7/2005
0000318025,10/20/1997
0000318154,5/28/1998
0000318154,12/6/2005
0000318378,7/22/1999
0000318996,11/10/2003
0000318996,7/29/2005
0000319120,1/22/1999
0000319120,9/7/2001
0000319459,4/21/1997
0000319459,5/16/2001
0000319459,4/8/2004
0000320186,4/30/1997
0000320186,1/14/1999
0000320187,11/17/2000
0000320187,11/15/2002
0000320187,11/20/2003
0000320187,12/1/2006
0000350403,4/23/2002
0000350698,7/14/2005
0000350698,4/1/2006
0000350832,11/30/2005
0000351993,11/12/1997
0000351993,12/15/2000
0000352363,12/6/1999
0000352363,11/16/2000
